label,text,preprocessing-result
Ham,"Mantap pk prsden,alhamdllah","['mantap', 'pk', 'prsden', 'alhamdllah']"
Ham,"Semoga bermanfaat bagi masyarakat Indonesia pak., bravo Aceh","['moga', 'manfaat', 'masyarakat', 'indonesia', 'bravo', 'aceh']"
Ham,Sehat selalu pak.,['sehat']
Ham,Luar biasa Bapa..👍👍,['bapa']
Ham,Mantap keren 👌👍,"['mantap', 'keren']"
Ham,Keren....super speed.....,"['keren', 'super', 'speed']"
Ham,"Gasss,,, polll... Barrakallaahh 👍👍👍👍👍👍👍","['gasss', 'polll', 'barrakallaahh']"
Spam,"Keren pak,namun harapan dari kami rakyat jelata semoga bpk,bisa melanjutkan dgn 3 periode.agar bangsa dan negara kesatuan RI kedepannya semakin maju.","['keren', 'harap', 'rakyat', 'jelata', 'moga', 'bpk', 'lanjut', 'dgn', 'periode', 'bangsa', 'negara', 'satu', 'ri', 'depan', 'maju']"
Ham,Kalau saja beliau memimpin Negari ini lbh lama sy yakin kemajuan akan lbh lagi. Smg penggantinya setara beliau sehingga kereta cepat bisa nyambung ke Surabaya atau daerah lainnya.,"['beliau', 'pimpin', 'negari', 'lbh', 'sy', 'maju', 'lbh', 'smg', 'ganti', 'tara', 'beliau', 'kereta', 'cepat', 'nyambung', 'surabaya', 'daerah']"
Spam,Izin pak .. pantura pak di hidupkan kembali keretanya semarang -demak -kudus -pati -rembang - tuban dst . Terimakasih.,"['izin', 'pantura', 'hidup', 'kereta', 'semarang', 'demak', 'kudus', 'pati', 'rembang', 'tuban', 'dst', 'terimakasih']"
Ham,Mantap kl mau ramai keretacepat. Harga lebihmurah dr negara lain dan korting harga K,"['mantap', 'kl', 'ramai', 'keretacepat', 'harga', 'lebihmurah', 'dr', 'negara', 'korting', 'harga', 'k']"
Ham,Alhamdulillah..... terima kasih pak Jokowi dan semoga pak Jokowi sehat selalu serta senantiasa selalu dilindungi oleh Allah SWT ...... Aamiin Yaa Robbal Aalamiin 🤲,"['alhamdulillah', 'terima', 'kasih', 'jokowi', 'moga', 'jokowi', 'sehat', 'senantiasa', 'lindung', 'allah', 'swt', 'aamiin', 'yaa', 'robbal', 'aalamiin']"
Ham,Muncul satu nanti akan muncul yang lainnya… semoga yg lain kebagian juga dilintasi kereta cepat..,"['muncul', 'muncul', 'moga', 'yg', 'bagi', 'lintas', 'kereta', 'cepat']"
Ham,"Saya sangat senang dengan kedatangan bapak , Apalagi antusias masyarakat menyambut kedatangan bapak Sekaligus Saya Lebih senang bisa bertemu langsung Semoga bapak sehat selalu...","['senang', 'datang', 'antusias', 'masyarakat', 'sambut', 'datang', 'senang', 'temu', 'langsung', 'moga', 'sehat']"
Ham,Keren Pak👍👍👍,['keren']
Ham,Salam rahayu buat bpak prsiden dlam mnjlkn tugas2 negara semoga di lancrkn.. 🙏,"['salam', 'rahayu', 'bpak', 'prsiden', 'dlam', 'mnjlkn', 'tugas', 'negara', 'moga', 'lancrkn']"
Ham,Amazing....... JOKOWI is the best,"['amazing', 'jokowi', 'is', 'the', 'best']"
Ham,Indah pada waktunya 👍🙏,['indah']
Ham,Good work pk d,"['good', 'work', 'pk', 'd']"
Ham,"Amin puji Tuhan,Indonesia terus maju ,tetap semangat.","['amin', 'puji', 'tuhan', 'indonesia', 'maju', 'semangat']"
Spam,Ah pak Rasanya belum siap kmi di tinggal bapak utk tahun depan pak..sehat selalu pak..Indonesia Masi butuh bapak 3 periodek LG  pak 🙏🙏,"['ah', 'kmi', 'tinggal', 'utk', 'sehat', 'indonesia', 'mas', 'butuh', 'periodek', 'lg']"
Spam,"Semoga pengganti mu tetap mempunyai karakter seperti panjenengan,,,dan yg perlu di ingat,asal jangan sumur resapan.","['moga', 'ganti', 'mu', 'karakter', 'panjenengan', 'yg', 'sumur', 'resap']"
Spam,Mt siang pak negara,"['mt', 'siang', 'negara']"
Ham,Terimakasih bpk Presiden Ir H.Joko Widodo atas Darma bakti yg sdh di lakukan Pd Negeri ini semoga kelak Nuswantara/ ibu Pertiwi tercinta menjadi Negeri yg baldatun Toyyibun Warobbun Ghofur. 🇮🇩⭐,"['terimakasih', 'bpk', 'presiden', 'ir', 'h', 'joko', 'widodo', 'darma', 'bakti', 'yg', 'sdh', 'laku', 'pd', 'negeri', 'moga', 'kelak', 'nuswantara', 'pertiwi', 'cinta', 'negeri', 'yg', 'baldatun', 'toyyibun', 'warobbun', 'ghofur']"
Ham,"Dari pada bikin jalan tol, saya lebih suka transportasi publik kereta yg terkoneksi tiap daerah. Rendah emisi, lebih cepat sampai ke tujuan dan tingkat kecelakaan lebih rendah.","['bikin', 'jalan', 'tol', 'suka', 'transportasi', 'publik', 'kereta', 'yg', 'koneksi', 'daerah', 'rendah', 'emisi', 'cepat', 'tuju', 'tingkat', 'celaka', 'rendah']"
Ham,Mantap pak,['mantap']
Ham,Satu strategy utk beberapa manfaat. Sehat selalu my president.. GBU,"['strategy', 'utk', 'manfaat', 'sehat', 'my', 'president', 'gbu']"
Spam,ke kota karawang pak.,"['kota', 'karawang']"
Ham,Mantap pakde. Andai sy bs nyobain bareng pakde,"['mantap', 'pakde', 'andai', 'sy', 'bs', 'nyobain', 'bareng', 'pakde']"
Ham,Mantap pak de 🔥🔥🔥,"['mantap', 'de']"
Ham,Sayang bapak ga ngajak fakir miskin rakyat jelata atau orang  ga mampu utk ikut bersama2 nikmati...jadi minimal mereka ikut bangga kalo pesisir rumahnya dilewati kereta cepat..🙏🙏😁,"['sayang', 'ga', 'ngajak', 'fakir', 'miskin', 'rakyat', 'jelata', 'orang', 'ga', 'utk', 'nikmat', 'minimal', 'bangga', 'kalo', 'pesisir', 'rumah', 'lewat', 'kereta', 'cepat']"
Ham,Semoga pak presiden dan keluarga selalu sehat panjang umur selalu dalam lindungan  Allah S.W.T 🤲,"['moga', 'presiden', 'keluarga', 'sehat', 'umur', 'lindung', 'allah', 's', 'w', 't']"
Ham,Keren 👍,['keren']
Ham,Mau coba naik....mahal gk yah .   ..,"['coba', 'mahal', 'gk', 'yah']"
Ham,"10 tahun memerintah negeri tercinta, persembahan buat RI TERCINTA. Terima kasih Pak Dhe 🥰🥰🥰","['perintah', 'negeri', 'cinta', 'sembah', 'ri', 'cinta', 'terima', 'kasih', 'dhe']"
Ham,"Keren pak pres...

#Rampang","['keren', 'pres', 'rampang']"
Spam,Harga bbm turunkeun deui bell manehma lihay naekeun nurunkeun t becus,"['harga', 'bbm', 'turunkeun', 'deui', 'bell', 'manehma', 'lihay', 'naekeun', 'nurunkeun', 't', 'becus']"
Spam,Kenapa belum ada di Ambon ya,"['ambon', 'ya']"
Spam,SBY ngapain aja 10 thn,"['sby', 'ngapain', 'aja', 'thn']"
Ham,Waw sehat selalu pk,"['waw', 'sehat', 'pk']"
Ham,Sehat slalu pak,"['sehat', 'slalu']"
Ham,Mantap nggeh pak Jokowi,"['mantap', 'nggeh', 'jokowi']"
Ham,Congratulations Pak Jokowi 💐🙏🏽,"['congratulations', 'jokowi']"
Ham,Udh gak sabar mau naik kcic,"['udh', 'gak', 'sabar', 'kcic']"
Ham,"Salah satu cara untuk mengurangi kemacetan , transportasi publik","['salah', 'kurang', 'macet', 'transportasi', 'publik']"
Ham,Sehat selalu pakdhe🌸,"['sehat', 'pakdhe']"
Ham,Slalu sehat pak ...,"['slalu', 'sehat']"
Ham,Sukses selalu pak🙏,['sukses']
Ham,Selamat menjalankan tugas sekaligus uji coba kreta cepat dapat bermanfaat dan dapat meningkatkan perekonomiAn dari sektor transportasi hingga masyarakat luas dapat merasakAn kemanfaatanya...,"['selamat', 'jalan', 'tugas', 'uji', 'coba', 'kreta', 'cepat', 'manfaat', 'tingkat', 'ekonomi', 'sektor', 'transportasi', 'masyarakat', 'luas', 'rasa', 'kemanfaatanya']"
Ham,Keren pk dhe  😍,"['keren', 'pk', 'dhe']"
Spam,"Jikalau nggak punya ilmu umum dan khusus pelajaran B. indonesia, B. Inggris, PPKN, Agama, PLKJ serta merakyat mending pada mingkem wae..., Peringatan keras bagi yang anti pak Presiden Joko Widodo. Kalian punya jasa apa untuk membentuk modal?!","['nggak', 'ilmu', 'khusus', 'ajar', 'b', 'indonesia', 'b', 'inggris', 'ppkn', 'agama', 'plkj', 'rakyat', 'mending', 'mingkem', 'wae', 'ingat', 'keras', 'anti', 'presiden', 'joko', 'widodo', 'jasa', 'bentuk', 'modal']"
Ham,"Luar biasa bapak Presiden Ir. Joko Widodo. 
Terima bapak Presiden 🙏🙏🙏","['presiden', 'ir', 'joko', 'widodo', 'terima', 'presiden']"
Ham,Alhamdulillah indonesia punya kebanggaan dibidang transportasi ...luar biasa,"['alhamdulillah', 'indonesia', 'bangga', 'bidang', 'transportasi']"
Ham,Sehat selalu ya pak broo,"['sehat', 'ya', 'broo']"
Spam,Mantaf pak... mohon tol cigatas dipercepat juga 🙏,"['mantaf', 'mohon', 'tol', 'cigatas', 'cepat']"
Ham,Syukur alhamdulillah ikut bangga melihat nya.,"['syukur', 'alhamdulillah', 'bangga', 'nya']"
Spam,Tinggal jln tol cigatasnya pak presiden yg baik,"['tinggal', 'jln', 'tol', 'cigatasnya', 'presiden', 'yg']"
Ham,Pak saya ikut nyobain donk.. ☺️,"['nyobain', 'donk']"
Ham,Luar biasa.. 👍👍,[]
Ham,"Alhamdulillah,",['alhamdulillah']
Ham,"Bapak Terbaik 👍👍👍
Sehat selalu","['baik', 'sehat']"
Ham,Keren Pak.,['keren']
Ham,"Semoga bpk presiden sekolurga sehat"" selalu 🤲🤲🙏","['moga', 'bpk', 'presiden', 'sekolurga', 'sehat']"
Ham,Emang terasa bedanya..maju terus dongane ya..,"['emang', 'beda', 'maju', 'dongane', 'ya']"
Ham,Terima kasih pak Jokowi❤️❤️❤️😇😇😇🙏🙏🙏,"['terima', 'kasih', 'jokowi']"
Ham,"🥰 bikin satu lagi pak, dari Kabupaten Murung Raya Utara Kaliman Tengah sampai ke Banjarmasin 🙏🤲😍

Salam sehat dan rejeki bagus dari Tuhan; untuk semua yang membaca 🤲🙏","['bikin', 'kabupaten', 'murung', 'raya', 'utara', 'kaliman', 'banjarmasin', 'salam', 'sehat', 'rejeki', 'bagus', 'tuhan', 'baca']"
Spam,Sore BP presiden🙏🙏,"['sore', 'bp', 'presiden']"
Ham,Pak mohon untuk di kondisikan feeder nya juga ke stasiun bandung di utamain atau jd prioritas kalo bisa,"['mohon', 'kondisi', 'feeder', 'nya', 'stasiun', 'bandung', 'utamain', 'jd', 'prioritas', 'kalo']"
Ham,"Keren, Pak.",['keren']
Ham,Mantap pakde😊😊,"['mantap', 'pakde']"
Ham,Priyek luar biada. Sehat terus untuk Bpk Ri 1.,"['priyek', 'biada', 'sehat', 'bpk', 'ri']"
Spam,Tolong mudahkan guru PPPK untuk mendapatkan sertifikasi pendidikan karena pengabdian kami sudah cukup lama melalui lulus PPG dengan skala prioritas,"['tolong', 'mudah', 'guru', 'pppk', 'sertifikasi', 'didik', 'abdi', 'lulus', 'ppg', 'skala', 'prioritas']"
Ham,MANTAAAAP  PAK,['mantaaaap']
Ham,"LUAR BIASA... KARYA MU PAK JOKOWI..
DOA.. KAMI SEHAT LAH SELALU BAPAK SERTA KELUARGA SEMUA...TRIMAKASIH.","['karya', 'mu', 'jokowi', 'doa', 'sehat', 'keluarga', 'trimakasih']"
Ham,Alhamdulillah,['alhamdulillah']
Ham,mantap pk de,"['mantap', 'pk', 'de']"
Ham,Gimana bli tiketnya yah,"['gimana', 'bli', 'tiket', 'yah']"
Ham,Awal yg baik untuk transportasi masa depan yang lebih baik,"['yg', 'transportasi']"
Ham,Mantap. Berkah Dalem Gusti pak,"['mantap', 'berkah', 'dalem', 'gusti']"
Ham,Keren juga cuma setengah jam,"['keren', 'jam']"
Spam,Tansah pinaringan SehART Pakdhe ..... ☕️☕️☕️,"['tansah', 'paring', 'hart', 'pakdhe']"
Ham,Melaju menuju Indonesia maju.. ✨👍,"['laju', 'indonesia', 'maju']"
Spam,"Mobil esemka dialernya di mana,kata nya udah ada yg pesan 6000 unit,serius nanya","['mobil', 'esemka', 'dialernya', 'nya', 'udah', 'yg', 'pesan', 'unit', 'serius', 'nanya']"
Spam,"Rempang memanggil pak. Jangan jalan-jalan mulu, dulu janjinya waktu kampanyenya mau selesaikan sertifikat masyarakat Rempang, tapi nyatanya sekarang kok digusur. Bagaimana ini. Kasihan masyarakat pak, mati di negeri sendiri.","['rempang', 'panggil', 'jalan', 'jalan', 'mulu', 'janji', 'kampanye', 'selesai', 'sertifikat', 'masyarakat', 'rempang', 'gusur', 'kasihan', 'masyarakat', 'mati', 'negeri']"
Spam,Bagaimana dengan saudara2 melayu kIta pak di #rempang,"['saudara', 'melayu', 'rempang']"
Ham,"Next Jakarta - Surabaya, baru saya mau naik","['next', 'jakarta', 'surabaya']"
Ham,KEREN BAPAK 🥰,['keren']
Ham,alhamdulillah,['alhamdulillah']
Ham,Mantap bersemi pokoknya...🫡,"['mantap', 'semi', 'pokok']"
Ham,KEREEN 👍,['kereen']
Spam,"Aamiin,, Mugi,, BPK jkw Dodo selalu sehat,ban sepur ipun menawi bocor kempes tembel nipun teng pundi?.....","['aamiin', 'mugi', 'bpk', 'jkw', 'dodo', 'sehat', 'ban', 'sepur', 'ipun', 'menawi', 'bocor', 'kempes', 'tembel', 'nipun', 'teng', 'pundi']"
Ham,"Lanjutkan perjalanannya terus ""pak etek..."" mantuul...👍👍👍🍦","['lanjut', 'jalan', 'etek', 'mantuul']"
Ham,Mantap,['mantap']
Ham,Seandainya bisa Bawak sawit??? pasti keren,"['anda', 'bawak', 'sawit', 'keren']"
Ham,"Saya liat-liat hanya di era pak Jokowi banyak prosyek selesai dengan cepat berkat kerjasamanya dengan negara luar, hingga membuat ke gaduhan di masyarakat yang kontra trhadap Negera asing. Andai di Indonesia ini sistem kerajaan atau sistem pemerintahannya bertahan lama, pasti bakal sejahtera dari birokrasi tak jelas","['liat', 'liat', 'era', 'jokowi', 'prosyek', 'selesai', 'cepat', 'berkat', 'kerjasamanya', 'negara', 'gaduh', 'masyarakat', 'kontra', 'trhadap', 'negera', 'asing', 'andai', 'indonesia', 'sistem', 'raja', 'sistem', 'perintah', 'tahan', 'sejahtera', 'birokrasi']"
Ham,Lanjut besok ke karawang,"['besok', 'karawang']"
Spam,Pak lanjut periode ketiga baik...🙏,"['periode', 'tiga']"
Ham,Mantap pak...,['mantap']
Ham,"Mantap pak, mudah2an ka feedernya gratis atau sudah termasuk di harga tiket kereta cepat","['mantap', 'mudah', 'an', 'ka', 'feedernya', 'gratis', 'harga', 'tiket', 'kereta', 'cepat']"
Spam,Kpd yth : Bpk presiden Jokowi kenapa ga ada kunjungan ke Kpulauan kangean Jatim. Seandainya Bpk tau minim pkrjaan di Kangean UTK Rakyat dusun saghubing UTK BS mnghslkan pundi2 rupiah smua krja ke luar negri. Andai saja di bentuk pembangunan lapangan pkrjaan UTK kpulauan kangean Jatim pak. Mohon kunjungannya,"['kpd', 'yth', 'bpk', 'presiden', 'jokowi', 'ga', 'kunjung', 'kpulauan', 'kangean', 'jatim', 'anda', 'bpk', 'tau', 'minim', 'pkrjaan', 'kangean', 'utk', 'rakyat', 'dusun', 'saghubing', 'utk', 'bs', 'mnghslkan', 'pundi', 'rupiah', 'smua', 'krja', 'negri', 'andai', 'bentuk', 'bangun', 'lapang', 'pkrjaan', 'utk', 'kpulauan', 'kangean', 'jatim', 'mohon', 'kunjung']"
Ham,Sehat2 sllu Pak Jokowi,"['sehat', 'sllu', 'jokowi']"
Ham,Alhamdulillah sangat luar biasa.,['alhamdulillah']
Spam,Like pwrtama,"['like', 'pwrtama']"
Ham,Cuma sampe padalarang tapi hutangnya ditanggung seluruh Indonesia.,"['sampe', 'padalarang', 'hutang', 'tanggung', 'indonesia']"
Ham,"👍 semoga di pulau sulawesi kedepannya terdapat transportasi kereta api, agar mobilitas lebih fleksibel dan roda ekonomi makin cepat 🙏","['moga', 'pulau', 'sulawesi', 'depan', 'transportasi', 'kereta', 'api', 'mobilitas', 'fleksibel', 'roda', 'ekonomi', 'cepat']"
Ham,Semoga sukses dan sehat selalu Pak Presiden Aamiiin.,"['moga', 'sukses', 'sehat', 'presiden', 'aamiiin']"
Spam,"Tolong jga kmi pak.sampai sa,'at ini kmi blom ada penerangan.tanpa listrik.sudah 78 thn indonesia merdeka.tpi kmi blom merasakan kemerdeka'an yg sempurna.mohon di mengerti.","['tolong', 'jga', 'kmi', 'sa', 'at', 'kmi', 'blom', 'terang', 'listrik', 'thn', 'indonesia', 'merdeka', 'tpi', 'kmi', 'blom', 'rasa', 'merdeka', 'an', 'yg', 'sempurna', 'mohon', 'erti']"
Ham,"Alhamdulillah..akhirnya di kepemimpinan Bpk Presiden Joko Widodo smua ini bs terwujud,kami bangga ketika dinegara ini pnya   public transport yg modern sperti yg dimiliki negara2 maju lainya,akhirnya indonesia jg pnya kreta cpt sperti shinkansen jepang","['alhamdulillah', 'pimpin', 'bpk', 'presiden', 'joko', 'widodo', 'smua', 'bs', 'wujud', 'bangga', 'negara', 'pnya', 'public', 'transport', 'yg', 'modern', 'sperti', 'yg', 'milik', 'negara', 'maju', 'lai', 'indonesia', 'jg', 'pnya', 'kreta', 'cpt', 'sperti', 'shinkansen', 'jepang']"
Ham,MassaAllAH AllAH maak bpk Aamiin,"['massaallah', 'allah', 'maak', 'bpk', 'aamiin']"
Ham,Luar biasa Boss Prend,"['boss', 'prend']"
Ham,Pakai kartu elektronik  untuk masuk nya ya pa,"['pakai', 'kartu', 'elektronik', 'masuk', 'nya', 'ya', 'pa']"
Ham,SINGKANSEN from Indonesia..MANTAP!!,"['singkansen', 'from', 'indonesia', 'mantap']"
Ham,Mantap...sehat3 selalu pak de...,"['mantap', 'sehat', 'de']"
Ham,Sukses PakDe,"['sukses', 'pakde']"
Ham,Keren 👍,['keren']
Ham,Sehat selalu pk presiden yg baik♥️♥️,"['sehat', 'pk', 'presiden', 'yg']"
Ham,Semoga negriku seperti di luar negri yg mudah berpergian menggunakan transportasi umum mugo2 lampung yo di gae pak lngsung tembus jkt-jatin😊😊😊,"['moga', 'negriku', 'negri', 'yg', 'mudah', 'pergi', 'transportasi', 'mugo', 'lampung', 'yo', 'gae', 'lngsung', 'tembus', 'jkt', 'jatin']"
Ham,Luar biasa,[]
Ham,Aaaamiin tetap Sehat Sekeluarga,"['aaaamiin', 'sehat', 'keluarga']"
Spam,"PLTU suralaya kapan pindah ke sumbernya , muaraenim ,mas , kasihan penduduk sumsel - lampung , hanya menyaksikan batubara dibakar mundarmandir di suralaya.. tanpa ada pabrik di MUARAENIM ...","['pltu', 'suralaya', 'pindah', 'sumber', 'muaraenim', 'mas', 'kasihan', 'duduk', 'sumsel', 'lampung', 'saksi', 'batubara', 'bakar', 'mundarmandir', 'suralaya', 'pabrik', 'muaraenim']"
Ham,"Terimakasih bapak untuk semua yg telah bapak lakukan untuk kepentingan rakyat, semoga bapak senantiasa sehat dan selalu dalam berkah Nya 🤲🙏🙏","['terimakasih', 'yg', 'laku', 'penting', 'rakyat', 'moga', 'senantiasa', 'sehat', 'berkah', 'nya']"
Ham,Semoga juga kedaerah banten sana ada kereta cepat...,"['moga', 'daerah', 'banten', 'kereta', 'cepat']"
Spam,"Saya salah satu warga mewakili masyarakat rempang, maslah kami ini bukan lah sebatas miss komunikasi , pemerintah daerah sudah berkomunikasi, sudah mensosialisasi bagaimana dampak proyek rempang eco city ini kepada kami kami tidak tuli pak,hanya saja akar permasalahannya kami tidak mau direlokasi karena tempat tinggal yg kami tinggali adalah warisan nenek moyang kami yg sudah beratus tahun kami tempati bahkan jauh seblum Indonesia merdeka, bukan juga ulah provokasi karena murni solidaritas kami sesama bangsa melayu kami marah kami lost kontrol terjadilah bentrokan,karena pemimpin daerah kami tidak memihak kepada kami yg hanya difikirkan investasi berjalan dgn lancar , bahkan disaat kami ribuan masyarakat melayu menyuarakan aspirasi kami besok nya pejabat teras menggelar press conference sambil tersenyum bahwa proyek tetap berjalan pedih hati kami pak presiden 😭😭😭","['salah', 'warga', 'wakil', 'masyarakat', 'rempang', 'mas', 'batas', 'miss', 'komunikasi', 'perintah', 'daerah', 'komunikasi', 'sosialisasi', 'dampak', 'proyek', 'rempang', 'eco', 'city', 'tidak', 'tuli', 'akar', 'masalah', 'tidak', 'relokasi', 'tinggal', 'yg', 'tinggal', 'waris', 'nenek', 'moyang', 'yg', 'atus', 'tempat', 'seblum', 'indonesia', 'merdeka', 'ulah', 'provokasi', 'murni', 'solidaritas', 'bangsa', 'melayu', 'marah', 'lost', 'kontrol', 'bentrok', 'pimpin', 'daerah', 'tidak', 'yg', 'difikirkan', 'investasi', 'jalan', 'dgn', 'lancar', 'saat', 'ribu', 'masyarakat', 'melayu', 'suara', 'aspirasi', 'besok', 'nya', 'jabat', 'teras', 'gelar', 'press', 'conference', 'senyum', 'proyek', 'jalan', 'pedih', 'hati', 'presiden']"
Spam,Pakdhe...ini pasti klo moto kameranya dibalik🤭,"['pakdhe', 'klo', 'moto', 'kamera', 'balik']"
Ham,Sehat sehat pak jokowi..,"['sehat', 'sehat', 'jokowi']"
Ham,Membanggakan...!!!... Maju terus Pak Presiden Jokowi..,"['bangga', 'maju', 'presiden', 'jokowi']"
Spam,Rakyat rempang berduka masih senyum2 saja ni bapak....anda bahagia pak....??,"['rakyat', 'rempang', 'duka', 'senyum', 'ni', 'bahagia']"
Ham,Mantap... jadi pengen kebandung naik kereta cepat... moga2 tahun baru bisa jalan2 kebandung... Aamiin,"['mantap', 'ken', 'bandung', 'kereta', 'cepat', 'moga', 'jalan', 'bandung', 'aamiin']"
Spam,10 perieode pak,['perieode']
Ham,hebat pak jokowi,"['hebat', 'jokowi']"
Ham,Saya mau naik kereta cepat ke jakarta tapi saya bingung mau ngapain saya kesonoh,"['kereta', 'cepat', 'jakarta', 'bingung', 'ngapain', 'kesonoh']"
Ham,"Mantap pak jokowi,sehat selalu pak","['mantap', 'jokowi', 'sehat']"
Ham,Semoga Allah selalu melindungi Bapak,"['moga', 'allah', 'lindung']"
Ham,Mantab pak  dan tiketnya dpt terjangkau,"['mantab', 'tiket', 'dpt', 'jangkau']"
Ham,Mantap Benar 👍👍👍,['mantap']
Ham,Mantap,['mantap']
Ham,Klau aku mh rakyat biasa msalah kmajuan kmewahan aku dukunk yank pntink indonesia maju mski aku blum tentu bisa mrasakan ituoptimis aja lh,"['klau', 'mh', 'rakyat', 'msalah', 'kmajuan', 'kmewahan', 'dukunk', 'yank', 'pntink', 'indonesia', 'maju', 'mski', 'blum', 'mrasakan', 'ituoptimis', 'aja', 'lh']"
Ham,Satu Kata *KEREN*  jadi pengen nyoba  biar ngerasain naik kereta cepat seperti apa,"['keren', 'ken', 'nyoba', 'biar', 'ngerasain', 'kereta', 'cepat']"
Ham,Wihh keren panjang gtuu,"['wihh', 'keren', 'gtuu']"
Ham,That’s a great achievement. Congratulations,"['that', 's', 'a', 'great', 'achievement', 'congratulations']"
Ham,"Progresif = mengarah kepada kemajuan,.. Big respect 🙏","['progresif', 'arah', 'maju', 'big', 'respect']"
Spam,Terasa bengkaknya ?,['bengkak']
Ham,"Sehat selalu pakdhe, aamiin....","['sehat', 'pakdhe', 'aamiin']"
Ham,Pak Joko Widodo is The Best President...,"['joko', 'widodo', 'is', 'the', 'best', 'president']"
Spam,Kapan berkunjung ke Rempang Batam menemui masyarakat anda pak presiden yg terhormat?.kasihan di sana anak sekolah di tembaki gas air mata..ingat sumpah jabatan anda pak untuk adil kepada seluruh rakyat Indonesia 👍,"['kunjung', 'rempang', 'batam', 'temu', 'masyarakat', 'presiden', 'yg', 'hormat', 'kasihan', 'anak', 'sekolah', 'tembak', 'gas', 'air', 'mata', 'sumpah', 'jabat', 'adil', 'rakyat', 'indonesia']"
Ham,Sehat selalu nggih pak Presiden Joko Widodo beserta ibu.,"['sehat', 'nggih', 'presiden', 'joko', 'widodo', 'serta']"
Ham,Mantap pak👍,['mantap']
Ham,Sehat2 trus Presiden Joko Widodo 😘,"['sehat', 'trus', 'presiden', 'joko', 'widodo']"
Ham,Asik.... IndONEsia juara 👍👍👍 Terima kasih pa Presiden Joko Widodo,"['asik', 'indonesia', 'juara', 'terima', 'kasih', 'pa', 'presiden', 'joko', 'widodo']"
Ham,"Keren Pak Presiden Joko Widodo, Indonesia makin maju dan sejahtera,..
Semoga amanahnya dilanjutkan oleh Bpk Ganjar Pranowo,..

God Bless Pak Presiden, God Bless Indonesia,..","['keren', 'presiden', 'joko', 'widodo', 'indonesia', 'maju', 'sejahtera', 'moga', 'amanah', 'lanjut', 'bpk', 'ganjar', 'pranowo', 'god', 'bless', 'presiden', 'god', 'bless', 'indonesia']"
